v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12
186.0;0.698;227.6;10.2;11.1;81.8;98.8;77.2;0.631;82.1;73.0;8.9
18.6;0.604;188.1;12.2;9.6;71.0;94.0;77.5;0.572;23.0;45.8;9.8
17.3;0.591;176.0;9.8;9.7;73.1;83.5;77.3;0.574;44.3;66.7;7.1
93.8;0.577;166.3;20.9;10.1;65.9;98.4;78.1;0.555;46.7;56.2;4.9
3.4;0.382;161.4;10.0;7.6;49.0;38.9;81.8;0.592;55.8;44.4;8.9
148.8;0.717;269.3;8.5;10.9;85.0;98.9;76.2;0.625;87.2;63.4;9.7
373.0;0.714;256.5;7.1;11.0;80.6;99.0;76.1;0.627;75.1;72.2;7.3
3.7;0.698;218.9;6.1;10.9;77.6;98.1;72.0;0.536;74.6;66.7;0.0
11.1;0.697;228.8;5.8;10.1;88.6;99.1;74.9;0.571;59.1;65.8;2.1
3.7;0.684;259.3;2.9;9.6;78.4;98.4;73.4;0.548;35.4;60.0;20.8
